Date,KeyStatistic,CA,MainClientGroup,Sector,Unit,Value,ValueQF
20100331,Mean Age,S92000003,Mental Health Problems,All Sectors,Years,55,
20100331,Mean Age,S12000005,Older People Aged 65 and Older,All Sectors,Years,76,
20100331,Mean Age,S12000006,Older People Aged 65 and Older,All Sectors,Years,85,
20100331,Mean Age,S12000008,Older People Aged 65 and Older,All Sectors,Years,82,
20100331,Mean Age,S12000010,Older People Aged 65 and Older,All Sectors,Years,85,
20100331,Mean Age,S12000011,Older People Aged 65 and Older,All Sectors,Years,85,
20100331,Mean Age,S12000013,Older People Aged 65 and Older,All Sectors,Years,84,
20100331,Mean Age,S12000014,Older People Aged 65 and Older,All Sectors,Years,84,
20100331,Mean Age,S12000017,Older People Aged 65 and Older,All Sectors,Years,82,
20100331,Mean Age,S12000018,Older People Aged 65 and Older,All Sectors,Years,83,
20100331,Mean Age,S12000019,Older People Aged 65 and Older,All Sectors,Years,81,
20100331,Mean Age,S12000020,Older People Aged 65 and Older,All Sectors,Years,85,
20100331,Mean Age,S12000021,Older People Aged 65 and Older,All Sectors,Years,84,
20100331,Mean Age,S12000023,Older People Aged 65 and Older,All Sectors,Years,86,
20100331,Mean Age,S12000026,Older People Aged 65 and Older,All Sectors,Years,85,
20100331,Mean Age,S12000027,Older People Aged 65 and Older,All Sectors,Years,84,
20100331,Mean Age,S12000028,Older People Aged 65 and Older,All Sectors,Years,85,
20100331,Mean Age,S12000029,Older People Aged 65 and Older,All Sectors,Years,81,
20100331,Mean Age,S12000030,Older People Aged 65 and Older,All Sectors,Years,84,
20100331,Mean Age,S12000033,Older People Aged 65 and Older,All Sectors,Years,83,
20100331,Mean Age,S12000034,Older People Aged 65 and Older,All Sectors,Years,83,
20100331,Mean Age,S12000035,Older People Aged 65 and Older,All Sectors,Years,86,
20100331,Mean Age,S12000036,Older People Aged 65 and Older,All Sectors,Years,85,
20100331,Mean Age,S12000038,Older People Aged 65 and Older,All Sectors,Years,83,
20100331,Mean Age,S12000039,Older People Aged 65 and Older,All Sectors,Years,82,
20100331,Mean Age,S12000040,Older People Aged 65 and Older,All Sectors,Years,83,
20100331,Mean Age,S12000041,Older People Aged 65 and Older,All Sectors,Years,84,
20100331,Mean Age,S12000042,Older People Aged 65 and Older,All Sectors,Years,82,
20100331,Mean Age,S12000045,Older People Aged 65 and Older,All Sectors,Years,83,
20100331,Mean Age,S12000047,Older People Aged 65 and Older,All Sectors,Years,83,
20100331,Mean Age,S12000048,Older People Aged 65 and Older,All Sectors,Years,84,
20100331,Mean Age,S12000049,Older People Aged 65 and Older,All Sectors,Years,82,
20100331,Mean Age,S12000050,Older People Aged 65 and Older,All Sectors,Years,83,
20100331,Mean Age,S92000003,Older People Aged 65 and Older,All Sectors,Years,83,
20100331,Mean Age,S92000003,Physical and Sensory Impairment,All Sectors,Years,51,
20100331,Mean Age At Admission,S12000005,All Adults,All Sectors,Years,58,
20100331,Mean Age At Admission,S12000006,All Adults,All Sectors,Years,80,
20100331,Mean Age At Admission,S12000008,All Adults,All Sectors,Years,76,
20100331,Mean Age At Admission,S12000010,All Adults,All Sectors,Years,81,
20100331,Mean Age At Admission,S12000011,All Adults,All Sectors,Years,80,
20100331,Mean Age At Admission,S12000013,All Adults,All Sectors,Years,79,
20100331,Mean Age At Admission,S12000014,All Adults,All Sectors,Years,74,
20100331,Mean Age At Admission,S12000017,All Adults,All Sectors,Years,74,
20100331,Mean Age At Admission,S12000018,All Adults,All Sectors,Years,74,
20100331,Mean Age At Admission,S12000019,All Adults,All Sectors,Years,73,
20100331,Mean Age At Admission,S12000020,All Adults,All Sectors,Years,81,
20100331,Mean Age At Admission,S12000021,All Adults,All Sectors,Years,74,
20100331,Mean Age At Admission,S12000023,All Adults,All Sectors,Years,81,
20100331,Mean Age At Admission,S12000026,All Adults,All Sectors,Years,77,
20100331,Mean Age At Admission,S12000027,All Adults,All Sectors,Years,80,
20100331,Mean Age At Admission,S12000028,All Adults,All Sectors,Years,77,
20100331,Mean Age At Admission,S12000029,All Adults,All Sectors,Years,75,
20100331,Mean Age At Admission,S12000030,All Adults,All Sectors,Years,68,
20100331,Mean Age At Admission,S12000033,All Adults,All Sectors,Years,69,
20100331,Mean Age At Admission,S12000034,All Adults,All Sectors,Years,76,
20100331,Mean Age At Admission,S12000035,All Adults,All Sectors,Years,81,
20100331,Mean Age At Admission,S12000036,All Adults,All Sectors,Years,77,
20100331,Mean Age At Admission,S12000038,All Adults,All Sectors,Years,78,
20100331,Mean Age At Admission,S12000039,All Adults,All Sectors,Years,80,
20100331,Mean Age At Admission,S12000040,All Adults,All Sectors,Years,74,
20100331,Mean Age At Admission,S12000041,All Adults,All Sectors,Years,76,
20100331,Mean Age At Admission,S12000042,All Adults,All Sectors,Years,77,
20100331,Mean Age At Admission,S12000045,All Adults,All Sectors,Years,79,
20100331,Mean Age At Admission,S12000047,All Adults,All Sectors,Years,79,
20100331,Mean Age At Admission,S12000048,All Adults,All Sectors,Years,75,
20100331,Mean Age At Admission,S12000049,All Adults,All Sectors,Years,73,
20100331,Mean Age At Admission,S12000050,All Adults,All Sectors,Years,79,
20100331,Mean Age At Admission,S92000003,All Adults,All Sectors,Years,76,
20100331,Mean Age At Admission,S92000003,Learning Disabilities,All Sectors,Years,38,
20100331,Mean Age At Admission,S92000003,Mental Health Problems,All Sectors,Years,51,
20100331,Mean Age At Admission,S12000005,Older People Aged 65 and Older,All Sectors,Years,73,
20100331,Mean Age At Admission,S12000006,Older People Aged 65 and Older,All Sectors,Years,82,
20100331,Mean Age At Admission,S12000008,Older People Aged 65 and Older,All Sectors,Years,79,
20100331,Mean Age At Admission,S12000010,Older People Aged 65 and Older,All Sectors,Years,82,
20100331,Mean Age At Admission,S12000011,Older People Aged 65 and Older,All Sectors,Years,82,
20100331,Mean Age At Admission,S12000013,Older People Aged 65 and Older,All Sectors,Years,81,
20100331,Mean Age At Admission,S12000014,Older People Aged 65 and Older,All Sectors,Years,81,
20100331,Mean Age At Admission,S12000017,Older People Aged 65 and Older,All Sectors,Years,78,
20100331,Mean Age At Admission,S12000018,Older People Aged 65 and Older,All Sectors,Years,79,
20100331,Mean Age At Admission,S12000019,Older People Aged 65 and Older,All Sectors,Years,78,
20100331,Mean Age At Admission,S12000020,Older People Aged 65 and Older,All Sectors,Years,82,
20100331,Mean Age At Admission,S12000021,Older People Aged 65 and Older,All Sectors,Years,80,
20100331,Mean Age At Admission,S12000023,Older People Aged 65 and Older,All Sectors,Years,84,
20100331,Mean Age At Admission,S12000026,Older People Aged 65 and Older,All Sectors,Years,83,
20100331,Mean Age At Admission,S12000027,Older People Aged 65 and Older,All Sectors,Years,80,
20100331,Mean Age At Admission,S12000028,Older People Aged 65 and Older,All Sectors,Years,82,
20100331,Mean Age At Admission,S12000029,Older People Aged 65 and Older,All Sectors,Years,78,
20100331,Mean Age At Admission,S12000030,Older People Aged 65 and Older,All Sectors,Years,81,
20100331,Mean Age At Admission,S12000033,Older People Aged 65 and Older,All Sectors,Years,80,
20100331,Mean Age At Admission,S12000034,Older People Aged 65 and Older,All Sectors,Years,81,
20100331,Mean Age At Admission,S12000035,Older People Aged 65 and Older,All Sectors,Years,82,
20100331,Mean Age At Admission,S12000036,Older People Aged 65 and Older,All Sectors,Years,83,
20100331,Mean Age At Admission,S12000038,Older People Aged 65 and Older,All Sectors,Years,80,
20100331,Mean Age At Admission,S12000039,Older People Aged 65 and Older,All Sectors,Years,80,
20100331,Mean Age At Admission,S12000040,Older People Aged 65 and Older,All Sectors,Years,79,
20100331,Mean Age At Admission,S12000041,Older People Aged 65 and Older,All Sectors,Years,81,
20100331,Mean Age At Admission,S12000042,Older People Aged 65 and Older,All Sectors,Years,79,
20100331,Mean Age At Admission,S12000045,Older People Aged 65 and Older,All Sectors,Years,82,
20100331,Mean Age At Admission,S12000047,Older People Aged 65 and Older,All Sectors,Years,80,
20100331,Mean Age At Admission,S12000048,Older People Aged 65 and Older,All Sectors,Years,83,
20100331,Mean Age At Admission,S12000049,Older People Aged 65 and Older,All Sectors,Years,79,
20100331,Mean Age At Admission,S12000050,Older People Aged 65 and Older,All Sectors,Years,79,
20100331,Mean Age At Admission,S92000003,Older People Aged 65 and Older,All Sectors,Years,80,
20100331,Mean Age At Admission,S92000003,Physical and Sensory Impairment,All Sectors,Years,40,
20100331,Mean Age At Discharge,S12000005,All Adults,All Sectors,Years,78,
20100331,Mean Age At Discharge,S12000006,All Adults,All Sectors,Years,86,
20100331,Mean Age At Discharge,S12000008,All Adults,All Sectors,Years,82,
20100331,Mean Age At Discharge,S12000010,All Adults,All Sectors,Years,86,
20100331,Mean Age At Discharge,S12000011,All Adults,All Sectors,Years,82,
20100331,Mean Age At Discharge,S12000013,All Adults,All Sectors,Years,85,
20100331,Mean Age At Discharge,S12000014,All Adults,All Sectors,Years,84,
20100331,Mean Age At Discharge,S12000017,All Adults,All Sectors,Years,83,
20100331,Mean Age At Discharge,S12000018,All Adults,All Sectors,Years,83,
20100331,Mean Age At Discharge,S12000019,All Adults,All Sectors,Years,80,
20100331,Mean Age At Discharge,S12000020,All Adults,All Sectors,Years,84,
20100331,Mean Age At Discharge,S12000021,All Adults,All Sectors,Years,82,
20100331,Mean Age At Discharge,S12000023,All Adults,All Sectors,Years,87,
20100331,Mean Age At Discharge,S12000026,All Adults,All Sectors,Years,86,
20100331,Mean Age At Discharge,S12000027,All Adults,All Sectors,Years,87,
20100331,Mean Age At Discharge,S12000028,All Adults,All Sectors,Years,85,
20100331,Mean Age At Discharge,S12000029,All Adults,All Sectors,Years,84,
20100331,Mean Age At Discharge,S12000030,All Adults,All Sectors,Years,83,
20100331,Mean Age At Discharge,S12000033,All Adults,All Sectors,Years,78,
20100331,Mean Age At Discharge,S12000034,All Adults,All Sectors,Years,85,
20100331,Mean Age At Discharge,S12000035,All Adults,All Sectors,Years,87,
20100331,Mean Age At Discharge,S12000036,All Adults,All Sectors,Years,83,
20100331,Mean Age At Discharge,S12000038,All Adults,All Sectors,Years,84,
20100331,Mean Age At Discharge,S12000039,All Adults,All Sectors,Years,86,
20100331,Mean Age At Discharge,S12000040,All Adults,All Sectors,Years,85,
20100331,Mean Age At Discharge,S12000041,All Adults,All Sectors,Years,83,
20100331,Mean Age At Discharge,S12000042,All Adults,All Sectors,Years,82,
20100331,Mean Age At Discharge,S12000045,All Adults,All Sectors,Years,86,
20100331,Mean Age At Discharge,S12000047,All Adults,All Sectors,Years,86,
20100331,Mean Age At Discharge,S12000048,All Adults,All Sectors,Years,87,
20100331,Mean Age At Discharge,S12000049,All Adults,All Sectors,Years,77,
20100331,Mean Age At Discharge,S12000050,All Adults,All Sectors,Years,83,
20100331,Mean Age At Discharge,S92000003,All Adults,All Sectors,Years,83,
20100331,Mean Age At Discharge,S12000005,Older People Aged 65 and Older,All Sectors,Years,86,
20100331,Mean Age At Discharge,S12000006,Older People Aged 65 and Older,All Sectors,Years,84,
20100331,Mean Age At Discharge,S12000008,Older People Aged 65 and Older,All Sectors,Years,86,
20100331,Mean Age At Discharge,S12000010,Older People Aged 65 and Older,All Sectors,Years,82,
20100331,Mean Age At Discharge,S12000011,Older People Aged 65 and Older,All Sectors,Years,87,
20100331,Mean Age At Discharge,S12000013,Older People Aged 65 and Older,All Sectors,Years,82,
20100331,Mean Age At Discharge,S12000014,Older People Aged 65 and Older,All Sectors,Years,85,
20100331,Mean Age At Discharge,S12000017,Older People Aged 65 and Older,All Sectors,Years,85,
20100331,Mean Age At Discharge,S12000018,Older People Aged 65 and Older,All Sectors,Years,84,
20100331,Mean Age At Discharge,S12000019,Older People Aged 65 and Older,All Sectors,Years,81,
20100331,Mean Age At Discharge,S12000020,Older People Aged 65 and Older,All Sectors,Years,85,
20100331,Mean Age At Discharge,S12000021,Older People Aged 65 and Older,All Sectors,Years,86,
20100331,Mean Age At Discharge,S12000023,Older People Aged 65 and Older,All Sectors,Years,87,
20100331,Mean Age At Discharge,S12000026,Older People Aged 65 and Older,All Sectors,Years,88,
20100331,Mean Age At Discharge,S12000027,Older People Aged 65 and Older,All Sectors,Years,87,
20100331,Mean Age At Discharge,S12000028,Older People Aged 65 and Older,All Sectors,Years,86,
20100331,Mean Age At Discharge,S12000029,Older People Aged 65 and Older,All Sectors,Years,85,
20100331,Mean Age At Discharge,S12000030,Older People Aged 65 and Older,All Sectors,Years,86,
20100331,Mean Age At Discharge,S12000033,Older People Aged 65 and Older,All Sectors,Years,84,
20100331,Mean Age At Discharge,S12000034,Older People Aged 65 and Older,All Sectors,Years,86,
20100331,Mean Age At Discharge,S12000035,Older People Aged 65 and Older,All Sectors,Years,87,
20100331,Mean Age At Discharge,S12000036,Older People Aged 65 and Older,All Sectors,Years,86,
20100331,Mean Age At Discharge,S12000038,Older People Aged 65 and Older,All Sectors,Years,84,
20100331,Mean Age At Discharge,S12000039,Older People Aged 65 and Older,All Sectors,Years,86,
20100331,Mean Age At Discharge,S12000040,Older People Aged 65 and Older,All Sectors,Years,85,
20100331,Mean Age At Discharge,S12000041,Older People Aged 65 and Older,All Sectors,Years,83,
20100331,Mean Age At Discharge,S12000042,Older People Aged 65 and Older,All Sectors,Years,83,
20100331,Mean Age At Discharge,S12000045,Older People Aged 65 and Older,All Sectors,Years,83,
20100331,Mean Age At Discharge,S12000047,Older People Aged 65 and Older,All Sectors,Years,85,
20100331,Mean Age At Discharge,S12000048,Older People Aged 65 and Older,All Sectors,Years,86,
20100331,Mean Age At Discharge,S12000049,Older People Aged 65 and Older,All Sectors,Years,86,
20100331,Mean Age At Discharge,S12000050,Older People Aged 65 and Older,All Sectors,Years,83,
20100331,Mean Age At Discharge,S92000003,Older People Aged 65 and Older,All Sectors,Years,85,
20100331,Median Age,S12000005,All Adults,All Sectors,Years,69,
20100331,Median Age,S12000006,All Adults,All Sectors,Years,85,
20100331,Median Age,S12000008,All Adults,All Sectors,Years,83,
20100331,Median Age,S12000010,All Adults,All Sectors,Years,86,
20100331,Median Age,S12000011,All Adults,All Sectors,Years,86,
20100331,Median Age,S12000013,All Adults,All Sectors,Years,86,
20100331,Median Age,S12000014,All Adults,All Sectors,Years,84,
20100331,Median Age,S12000017,All Adults,All Sectors,Years,83,
20100331,Median Age,S12000018,All Adults,All Sectors,Years,84,
20100331,Median Age,S12000019,All Adults,All Sectors,Years,83,
20100331,Median Age,S12000020,All Adults,All Sectors,Years,85,
20100331,Median Age,S12000021,All Adults,All Sectors,Years,83,
20100331,Median Age,S12000023,All Adults,All Sectors,Years,87,
20100331,Median Age,S12000026,All Adults,All Sectors,Years,85,
20100331,Median Age,S12000027,All Adults,All Sectors,Years,86,
20100331,Median Age,S12000028,All Adults,All Sectors,Years,85,
20100331,Median Age,S12000029,All Adults,All Sectors,Years,83,
20100331,Median Age,S12000030,All Adults,All Sectors,Years,82,
20100331,Median Age,S12000033,All Adults,All Sectors,Years,81,
20100331,Median Age,S12000034,All Adults,All Sectors,Years,84,
20100331,Median Age,S12000035,All Adults,All Sectors,Years,85,
20100331,Median Age,S12000036,All Adults,All Sectors,Years,85,
20100331,Median Age,S12000038,All Adults,All Sectors,Years,84,
20100331,Median Age,S12000039,All Adults,All Sectors,Years,84,
20100331,Median Age,S12000040,All Adults,All Sectors,Years,82,
20100331,Median Age,S12000041,All Adults,All Sectors,Years,84,
20100331,Median Age,S12000042,All Adults,All Sectors,Years,83,
20100331,Median Age,S12000045,All Adults,All Sectors,Years,83,
20100331,Median Age,S12000047,All Adults,All Sectors,Years,84,
20100331,Median Age,S12000048,All Adults,All Sectors,Years,85,
20100331,Median Age,S12000049,All Adults,All Sectors,Years,82,
20100331,Median Age,S12000050,All Adults,All Sectors,Years,83,
20100331,Median Age,S92000003,All Adults,All Sectors,Years,84,
20100331,Median Age,S92000003,Learning Disabilities,All Sectors,Years,49,
20100331,Median Age,S92000003,Mental Health Problems,All Sectors,Years,55,
20100331,Median Age,S12000005,Older People Aged 65 and Older,All Sectors,Years,80,
20100331,Median Age,S12000006,Older People Aged 65 and Older,All Sectors,Years,86,
20100331,Median Age,S12000008,Older People Aged 65 and Older,All Sectors,Years,84,
20100331,Median Age,S12000010,Older People Aged 65 and Older,All Sectors,Years,86,
20100331,Median Age,S12000011,Older People Aged 65 and Older,All Sectors,Years,86,
20100331,Median Age,S12000013,Older People Aged 65 and Older,All Sectors,Years,87,
20100331,Median Age,S12000014,Older People Aged 65 and Older,All Sectors,Years,85,
20100331,Median Age,S12000017,Older People Aged 65 and Older,All Sectors,Years,85,
20100331,Median Age,S12000018,Older People Aged 65 and Older,All Sectors,Years,85,
20100331,Median Age,S12000019,Older People Aged 65 and Older,All Sectors,Years,84,
20100331,Median Age,S12000020,Older People Aged 65 and Older,All Sectors,Years,86,
20100331,Median Age,S12000021,Older People Aged 65 and Older,All Sectors,Years,85,
20100331,Median Age,S12000023,Older People Aged 65 and Older,All Sectors,Years,87,
20100331,Median Age,S12000026,Older People Aged 65 and Older,All Sectors,Years,86,
20100331,Median Age,S12000027,Older People Aged 65 and Older,All Sectors,Years,86,
20100331,Median Age,S12000028,Older People Aged 65 and Older,All Sectors,Years,86,
20100331,Median Age,S12000029,Older People Aged 65 and Older,All Sectors,Years,84,
20100331,Median Age,S12000030,Older People Aged 65 and Older,All Sectors,Years,85,
20100331,Median Age,S12000033,Older People Aged 65 and Older,All Sectors,Years,84,
20100331,Median Age,S12000034,Older People Aged 65 and Older,All Sectors,Years,85,
20100331,Median Age,S12000035,Older People Aged 65 and Older,All Sectors,Years,86,
20100331,Median Age,S12000036,Older People Aged 65 and Older,All Sectors,Years,86,
20100331,Median Age,S12000038,Older People Aged 65 and Older,All Sectors,Years,84,
20100331,Median Age,S12000039,Older People Aged 65 and Older,All Sectors,Years,84,
20100331,Median Age,S12000040,Older People Aged 65 and Older,All Sectors,Years,84,
20100331,Median Age,S12000041,Older People Aged 65 and Older,All Sectors,Years,86,
20100331,Median Age,S12000042,Older People Aged 65 and Older,All Sectors,Years,84,
20100331,Median Age,S12000045,Older People Aged 65 and Older,All Sectors,Years,85,
20100331,Median Age,S12000047,Older People Aged 65 and Older,All Sectors,Years,84,
20100331,Median Age,S12000048,Older People Aged 65 and Older,All Sectors,Years,86,
20100331,Median Age,S12000049,Older People Aged 65 and Older,All Sectors,Years,84,
20100331,Median Age,S12000050,Older People Aged 65 and Older,All Sectors,Years,84,
20100331,Median Age,S92000003,Older People Aged 65 and Older,All Sectors,Years,85,
20100331,Median Age,S92000003,Physical and Sensory Impairment,All Sectors,Years,51,
20100331,Median Age At Admission,S12000005,All Adults,All Sectors,Years,66,
20100331,Median Age At Admission,S12000006,All Adults,All Sectors,Years,83,
20100331,Median Age At Admission,S12000008,All Adults,All Sectors,Years,80,
20100331,Median Age At Admission,S12000010,All Adults,All Sectors,Years,83,
20100331,Median Age At Admission,S12000011,All Adults,All Sectors,Years,83,
20100331,Median Age At Admission,S12000013,All Adults,All Sectors,Years,82,
20100331,Median Age At Admission,S12000014,All Adults,All Sectors,Years,80,
20100331,Median Age At Admission,S12000017,All Adults,All Sectors,Years,80,
20100331,Median Age At Admission,S12000018,All Adults,All Sectors,Years,79,
20100331,Median Age At Admission,S12000019,All Adults,All Sectors,Years,79,
20100331,Median Age At Admission,S12000020,All Adults,All Sectors,Years,83,
20100331,Median Age At Admission,S12000021,All Adults,All Sectors,Years,80,
20100331,Median Age At Admission,S12000023,All Adults,All Sectors,Years,85,
20100331,Median Age At Admission,S12000026,All Adults,All Sectors,Years,83,
20100331,Median Age At Admission,S12000027,All Adults,All Sectors,Years,82,
20100331,Median Age At Admission,S12000028,All Adults,All Sectors,Years,82,
20100331,Median Age At Admission,S12000029,All Adults,All Sectors,Years,80,
20100331,Median Age At Admission,S12000030,All Adults,All Sectors,Years,77,
20100331,Median Age At Admission,S12000033,All Adults,All Sectors,Years,77,
20100331,Median Age At Admission,S12000034,All Adults,All Sectors,Years,81,
20100331,Median Age At Admission,S12000035,All Adults,All Sectors,Years,83,
20100331,Median Age At Admission,S12000036,All Adults,All Sectors,Years,82,
20100331,Median Age At Admission,S12000038,All Adults,All Sectors,Years,81,
20100331,Median Age At Admission,S12000039,All Adults,All Sectors,Years,82,
20100331,Median Age At Admission,S12000040,All Adults,All Sectors,Years,79,
20100331,Median Age At Admission,S12000041,All Adults,All Sectors,Years,81,
20100331,Median Age At Admission,S12000042,All Adults,All Sectors,Years,80,
20100331,Median Age At Admission,S12000045,All Adults,All Sectors,Years,82,
20100331,Median Age At Admission,S12000047,All Adults,All Sectors,Years,82,
20100331,Median Age At Admission,S12000048,All Adults,All Sectors,Years,82,
20100331,Median Age At Admission,S12000049,All Adults,All Sectors,Years,78,
20100331,Median Age At Admission,S12000050,All Adults,All Sectors,Years,80,
20100331,Median Age At Admission,S92000003,All Adults,All Sectors,Years,81,
20100331,Median Age At Admission,S92000003,Learning Disabilities,All Sectors,Years,38,
20100331,Median Age At Admission,S92000003,Mental Health Problems,All Sectors,Years,51,
20100331,Median Age At Admission,S12000005,Older People Aged 65 and Older,All Sectors,Years,77,
20100331,Median Age At Admission,S12000006,Older People Aged 65 and Older,All Sectors,Years,83,
20100331,Median Age At Admission,S12000008,Older People Aged 65 and Older,All Sectors,Years,81,
20100331,Median Age At Admission,S12000010,Older People Aged 65 and Older,All Sectors,Years,83,
20100331,Median Age At Admission,S12000011,Older People Aged 65 and Older,All Sectors,Years,83,
20100331,Median Age At Admission,S12000013,Older People Aged 65 and Older,All Sectors,Years,83,
20100331,Median Age At Admission,S12000014,Older People Aged 65 and Older,All Sectors,Years,82,
20100331,Median Age At Admission,S12000017,Older People Aged 65 and Older,All Sectors,Years,82,
20100331,Median Age At Admission,S12000018,Older People Aged 65 and Older,All Sectors,Years,81,
20100331,Median Age At Admission,S12000019,Older People Aged 65 and Older,All Sectors,Years,81,
20100331,Median Age At Admission,S12000020,Older People Aged 65 and Older,All Sectors,Years,83,
20100331,Median Age At Admission,S12000021,Older People Aged 65 and Older,All Sectors,Years,82,
20100331,Median Age At Admission,S12000023,Older People Aged 65 and Older,All Sectors,Years,85,
20100331,Median Age At Admission,S12000026,Older People Aged 65 and Older,All Sectors,Years,85,
20100331,Median Age At Admission,S12000027,Older People Aged 65 and Older,All Sectors,Years,82,
20100331,Median Age At Admission,S12000028,Older People Aged 65 and Older,All Sectors,Years,83,
20100331,Median Age At Admission,S12000029,Older People Aged 65 and Older,All Sectors,Years,81,
20100331,Median Age At Admission,S12000030,Older People Aged 65 and Older,All Sectors,Years,83,
20100331,Median Age At Admission,S12000033,Older People Aged 65 and Older,All Sectors,Years,82,
20100331,Median Age At Admission,S12000034,Older People Aged 65 and Older,All Sectors,Years,82,
20100331,Median Age At Admission,S12000035,Older People Aged 65 and Older,All Sectors,Years,83,
20100331,Median Age At Admission,S12000036,Older People Aged 65 and Older,All Sectors,Years,84,
20100331,Median Age At Admission,S12000038,Older People Aged 65 and Older,All Sectors,Years,82,
20100331,Median Age At Admission,S12000039,Older People Aged 65 and Older,All Sectors,Years,82,
20100331,Median Age At Admission,S12000040,Older People Aged 65 and Older,All Sectors,Years,80,
20100331,Median Age At Admission,S12000041,Older People Aged 65 and Older,All Sectors,Years,82,
20100331,Median Age At Admission,S12000042,Older People Aged 65 and Older,All Sectors,Years,81,
20100331,Median Age At Admission,S12000045,Older People Aged 65 and Older,All Sectors,Years,83,
20100331,Median Age At Admission,S12000047,Older People Aged 65 and Older,All Sectors,Years,82,
20100331,Median Age At Admission,S12000048,Older People Aged 65 and Older,All Sectors,Years,84,
20100331,Median Age At Admission,S12000049,Older People Aged 65 and Older,All Sectors,Years,80,
20100331,Median Age At Admission,S12000050,Older People Aged 65 and Older,All Sectors,Years,81,
20100331,Median Age At Admission,S92000003,Older People Aged 65 and Older,All Sectors,Years,82,
20100331,Median Age At Admission,S92000003,Physical and Sensory Impairment,All Sectors,Years,42,
20100331,Median Age At Discharge,S12000005,All Adults,All Sectors,Years,82,
20100331,Median Age At Discharge,S12000006,All Adults,All Sectors,Years,87,
20100331,Median Age At Discharge,S12000008,All Adults,All Sectors,Years,85,
20100331,Median Age At Discharge,S12000010,All Adults,All Sectors,Years,87,
20100331,Median Age At Discharge,S12000011,All Adults,All Sectors,Years,85,
20100331,Median Age At Discharge,S12000013,All Adults,All Sectors,Years,87,
20100331,Median Age At Discharge,S12000014,All Adults,All Sectors,Years,85,
20100331,Median Age At Discharge,S12000017,All Adults,All Sectors,Years,85,
20100331,Median Age At Discharge,S12000018,All Adults,All Sectors,Years,86,
20100331,Median Age At Discharge,S12000019,All Adults,All Sectors,Years,85,
20100331,Median Age At Discharge,S12000020,All Adults,All Sectors,Years,87,
20100331,Median Age At Discharge,S12000021,All Adults,All Sectors,Years,85,
20100331,Median Age At Discharge,S12000023,All Adults,All Sectors,Years,86,
20100331,Median Age At Discharge,S12000026,All Adults,All Sectors,Years,87,
20100331,Median Age At Discharge,S12000027,All Adults,All Sectors,Years,88,
20100331,Median Age At Discharge,S12000028,All Adults,All Sectors,Years,85,
20100331,Median Age At Discharge,S12000029,All Adults,All Sectors,Years,85,
20100331,Median Age At Discharge,S12000030,All Adults,All Sectors,Years,86,
20100331,Median Age At Discharge,S12000033,All Adults,All Sectors,Years,84,
20100331,Median Age At Discharge,S12000034,All Adults,All Sectors,Years,87,
20100331,Median Age At Discharge,S12000035,All Adults,All Sectors,Years,87,
20100331,Median Age At Discharge,S12000036,All Adults,All Sectors,Years,86,
20100331,Median Age At Discharge,S12000038,All Adults,All Sectors,Years,85,
