,HBName,CAName,Year,InjuryType,NumberofDeaths
156,NHS Ayrshire and Arran,North Ayrshire,2019,Falls,35
157,NHS Ayrshire and Arran,North Ayrshire,2019,"Struck by,against",0
158,NHS Ayrshire and Arran,North Ayrshire,2019,Crushing,0
159,NHS Ayrshire and Arran,North Ayrshire,2019,Scalds,0
160,NHS Ayrshire and Arran,North Ayrshire,2019,Accidental exposure,2
161,NHS Ayrshire and Arran,North Ayrshire,2019,Other,3
163,NHS Ayrshire and Arran,North Ayrshire,2020,Land transport accidents,2
164,NHS Ayrshire and Arran,North Ayrshire,2020,Poisoning,43
165,NHS Ayrshire and Arran,North Ayrshire,2020,Falls,26
166,NHS Ayrshire and Arran,North Ayrshire,2020,"Struck by,against",0
167,NHS Ayrshire and Arran,North Ayrshire,2020,Crushing,0
168,NHS Ayrshire and Arran,North Ayrshire,2020,Scalds,0
169,NHS Ayrshire and Arran,North Ayrshire,2020,Accidental exposure,3
170,NHS Ayrshire and Arran,North Ayrshire,2020,Other,3
172,NHS Ayrshire and Arran,North Ayrshire,2021,Land transport accidents,2
173,NHS Ayrshire and Arran,North Ayrshire,2021,Poisoning,42
174,NHS Ayrshire and Arran,North Ayrshire,2021,Falls,26
175,NHS Ayrshire and Arran,North Ayrshire,2021,"Struck by,against",0
176,NHS Ayrshire and Arran,North Ayrshire,2021,Crushing,0
177,NHS Ayrshire and Arran,North Ayrshire,2021,Scalds,0
178,NHS Ayrshire and Arran,North Ayrshire,2021,Accidental exposure,2
179,NHS Ayrshire and Arran,North Ayrshire,2021,Other,3
181,NHS Ayrshire and Arran,South Ayrshire,2012,Land transport accidents,4
182,NHS Ayrshire and Arran,South Ayrshire,2012,Poisoning,11
183,NHS Ayrshire and Arran,South Ayrshire,2012,Falls,17
184,NHS Ayrshire and Arran,South Ayrshire,2012,"Struck by,against",1
185,NHS Ayrshire and Arran,South Ayrshire,2012,Crushing,0
186,NHS Ayrshire and Arran,South Ayrshire,2012,Scalds,0
187,NHS Ayrshire and Arran,South Ayrshire,2012,Accidental exposure,0
188,NHS Ayrshire and Arran,South Ayrshire,2012,Other,5
190,NHS Ayrshire and Arran,South Ayrshire,2013,Land transport accidents,5
191,NHS Ayrshire and Arran,South Ayrshire,2013,Poisoning,12
192,NHS Ayrshire and Arran,South Ayrshire,2013,Falls,17
193,NHS Ayrshire and Arran,South Ayrshire,2013,"Struck by,against",0
194,NHS Ayrshire and Arran,South Ayrshire,2013,Crushing,0
195,NHS Ayrshire and Arran,South Ayrshire,2013,Scalds,0
196,NHS Ayrshire and Arran,South Ayrshire,2013,Accidental exposure,0
197,NHS Ayrshire and Arran,South Ayrshire,2013,Other,3
199,NHS Ayrshire and Arran,South Ayrshire,2014,Land transport accidents,2
200,NHS Ayrshire and Arran,South Ayrshire,2014,Poisoning,12
201,NHS Ayrshire and Arran,South Ayrshire,2014,Falls,26
202,NHS Ayrshire and Arran,South Ayrshire,2014,"Struck by,against",0
203,NHS Ayrshire and Arran,South Ayrshire,2014,Crushing,0
204,NHS Ayrshire and Arran,South Ayrshire,2014,Scalds,0
205,NHS Ayrshire and Arran,South Ayrshire,2014,Accidental exposure,3
206,NHS Ayrshire and Arran,South Ayrshire,2014,Other,1
208,NHS Ayrshire and Arran,South Ayrshire,2015,Land transport accidents,4
209,NHS Ayrshire and Arran,South Ayrshire,2015,Poisoning,16
210,NHS Ayrshire and Arran,South Ayrshire,2015,Falls,23
211,NHS Ayrshire and Arran,South Ayrshire,2015,"Struck by,against",1
212,NHS Ayrshire and Arran,South Ayrshire,2015,Crushing,0
213,NHS Ayrshire and Arran,South Ayrshire,2015,Scalds,0
214,NHS Ayrshire and Arran,South Ayrshire,2015,Accidental exposure,2
215,NHS Ayrshire and Arran,South Ayrshire,2015,Other,3
217,NHS Ayrshire and Arran,South Ayrshire,2016,Land transport accidents,6
218,NHS Ayrshire and Arran,South Ayrshire,2016,Poisoning,23
219,NHS Ayrshire and Arran,South Ayrshire,2016,Falls,19
220,NHS Ayrshire and Arran,South Ayrshire,2016,"Struck by,against",0
221,NHS Ayrshire and Arran,South Ayrshire,2016,Crushing,0
222,NHS Ayrshire and Arran,South Ayrshire,2016,Scalds,0
223,NHS Ayrshire and Arran,South Ayrshire,2016,Accidental exposure,1
224,NHS Ayrshire and Arran,South Ayrshire,2016,Other,3
226,NHS Ayrshire and Arran,South Ayrshire,2017,Land transport accidents,3
227,NHS Ayrshire and Arran,South Ayrshire,2017,Poisoning,14
228,NHS Ayrshire and Arran,South Ayrshire,2017,Falls,31
229,NHS Ayrshire and Arran,South Ayrshire,2017,"Struck by,against",0
230,NHS Ayrshire and Arran,South Ayrshire,2017,Crushing,0
231,NHS Ayrshire and Arran,South Ayrshire,2017,Scalds,0
232,NHS Ayrshire and Arran,South Ayrshire,2017,Accidental exposure,5
233,NHS Ayrshire and Arran,South Ayrshire,2017,Other,3
235,NHS Ayrshire and Arran,South Ayrshire,2018,Land transport accidents,4
236,NHS Ayrshire and Arran,South Ayrshire,2018,Poisoning,20
237,NHS Ayrshire and Arran,South Ayrshire,2018,Falls,24
238,NHS Ayrshire and Arran,South Ayrshire,2018,"Struck by,against",0
239,NHS Ayrshire and Arran,South Ayrshire,2018,Crushing,0
240,NHS Ayrshire and Arran,South Ayrshire,2018,Scalds,0
241,NHS Ayrshire and Arran,South Ayrshire,2018,Accidental exposure,2
242,NHS Ayrshire and Arran,South Ayrshire,2018,Other,3
244,NHS Ayrshire and Arran,South Ayrshire,2019,Land transport accidents,1
245,NHS Ayrshire and Arran,South Ayrshire,2019,Poisoning,27
246,NHS Ayrshire and Arran,South Ayrshire,2019,Falls,22
247,NHS Ayrshire and Arran,South Ayrshire,2019,"Struck by,against",0
248,NHS Ayrshire and Arran,South Ayrshire,2019,Crushing,0
249,NHS Ayrshire and Arran,South Ayrshire,2019,Scalds,0
250,NHS Ayrshire and Arran,South Ayrshire,2019,Accidental exposure,1
251,NHS Ayrshire and Arran,South Ayrshire,2019,Other,5
253,NHS Ayrshire and Arran,South Ayrshire,2020,Land transport accidents,2
254,NHS Ayrshire and Arran,South Ayrshire,2020,Poisoning,30
255,NHS Ayrshire and Arran,South Ayrshire,2020,Falls,27
256,NHS Ayrshire and Arran,South Ayrshire,2020,"Struck by,against",0
257,NHS Ayrshire and Arran,South Ayrshire,2020,Crushing,0
258,NHS Ayrshire and Arran,South Ayrshire,2020,Scalds,0
259,NHS Ayrshire and Arran,South Ayrshire,2020,Accidental exposure,1
260,NHS Ayrshire and Arran,South Ayrshire,2020,Other,5
262,NHS Ayrshire and Arran,South Ayrshire,2021,Land transport accidents,5
263,NHS Ayrshire and Arran,South Ayrshire,2021,Poisoning,18
264,NHS Ayrshire and Arran,South Ayrshire,2021,Falls,31
265,NHS Ayrshire and Arran,South Ayrshire,2021,"Struck by,against",0
266,NHS Ayrshire and Arran,South Ayrshire,2021,Crushing,0
267,NHS Ayrshire and Arran,South Ayrshire,2021,Scalds,0
268,NHS Ayrshire and Arran,South Ayrshire,2021,Accidental exposure,2
269,NHS Ayrshire and Arran,South Ayrshire,2021,Other,2
271,NHS Borders,Scottish Borders,2012,Land transport accidents,6
272,NHS Borders,Scottish Borders,2012,Poisoning,3
273,NHS Borders,Scottish Borders,2012,Falls,31
274,NHS Borders,Scottish Borders,2012,"Struck by,against",0
275,NHS Borders,Scottish Borders,2012,Crushing,0
276,NHS Borders,Scottish Borders,2012,Scalds,0
277,NHS Borders,Scottish Borders,2012,Accidental exposure,2
278,NHS Borders,Scottish Borders,2012,Other,2
280,NHS Borders,Scottish Borders,2013,Land transport accidents,5
281,NHS Borders,Scottish Borders,2013,Poisoning,3
282,NHS Borders,Scottish Borders,2013,Falls,21
283,NHS Borders,Scottish Borders,2013,"Struck by,against",0
284,NHS Borders,Scottish Borders,2013,Crushing,0
285,NHS Borders,Scottish Borders,2013,Scalds,0
286,NHS Borders,Scottish Borders,2013,Accidental exposure,1
287,NHS Borders,Scottish Borders,2013,Other,6
289,NHS Borders,Scottish Borders,2014,Land transport accidents,6
290,NHS Borders,Scottish Borders,2014,Poisoning,10
291,NHS Borders,Scottish Borders,2014,Falls,20
292,NHS Borders,Scottish Borders,2014,"Struck by,against",0
293,NHS Borders,Scottish Borders,2014,Crushing,0
294,NHS Borders,Scottish Borders,2014,Scalds,0
295,NHS Borders,Scottish Borders,2014,Accidental exposure,2
296,NHS Borders,Scottish Borders,2014,Other,5
298,NHS Borders,Scottish Borders,2015,Land transport accidents,8
299,NHS Borders,Scottish Borders,2015,Poisoning,8
300,NHS Borders,Scottish Borders,2015,Falls,18
301,NHS Borders,Scottish Borders,2015,"Struck by,against",1
302,NHS Borders,Scottish Borders,2015,Crushing,0
303,NHS Borders,Scottish Borders,2015,Scalds,0
304,NHS Borders,Scottish Borders,2015,Accidental exposure,0
305,NHS Borders,Scottish Borders,2015,Other,5
307,NHS Borders,Scottish Borders,2016,Land transport accidents,11
308,NHS Borders,Scottish Borders,2016,Poisoning,10
309,NHS Borders,Scottish Borders,2016,Falls,22
310,NHS Borders,Scottish Borders,2016,"Struck by,against",0
311,NHS Borders,Scottish Borders,2016,Crushing,0
312,NHS Borders,Scottish Borders,2016,Scalds,0
313,NHS Borders,Scottish Borders,2016,Accidental exposure,6
314,NHS Borders,Scottish Borders,2016,Other,3
316,NHS Borders,Scottish Borders,2017,Land transport accidents,6
317,NHS Borders,Scottish Borders,2017,Poisoning,12
318,NHS Borders,Scottish Borders,2017,Falls,33
319,NHS Borders,Scottish Borders,2017,"Struck by,against",1
320,NHS Borders,Scottish Borders,2017,Crushing,0
321,NHS Borders,Scottish Borders,2017,Scalds,0
322,NHS Borders,Scottish Borders,2017,Accidental exposure,5
323,NHS Borders,Scottish Borders,2017,Other,2
325,NHS Borders,Scottish Borders,2018,Land transport accidents,6
326,NHS Borders,Scottish Borders,2018,Poisoning,19
327,NHS Borders,Scottish Borders,2018,Falls,29
328,NHS Borders,Scottish Borders,2018,"Struck by,against",0
329,NHS Borders,Scottish Borders,2018,Crushing,0
330,NHS Borders,Scottish Borders,2018,Scalds,0
331,NHS Borders,Scottish Borders,2018,Accidental exposure,0
332,NHS Borders,Scottish Borders,2018,Other,4
334,NHS Borders,Scottish Borders,2019,Land transport accidents,5
335,NHS Borders,Scottish Borders,2019,Poisoning,16
336,NHS Borders,Scottish Borders,2019,Falls,27
337,NHS Borders,Scottish Borders,2019,"Struck by,against",0
338,NHS Borders,Scottish Borders,2019,Crushing,0
339,NHS Borders,Scottish Borders,2019,Scalds,0
340,NHS Borders,Scottish Borders,2019,Accidental exposure,1
341,NHS Borders,Scottish Borders,2019,Other,5
343,NHS Borders,Scottish Borders,2020,Land transport accidents,3
344,NHS Borders,Scottish Borders,2020,Poisoning,16
345,NHS Borders,Scottish Borders,2020,Falls,29
346,NHS Borders,Scottish Borders,2020,"Struck by,against",0
347,NHS Borders,Scottish Borders,2020,Crushing,0
348,NHS Borders,Scottish Borders,2020,Scalds,0
349,NHS Borders,Scottish Borders,2020,Accidental exposure,4
350,NHS Borders,Scottish Borders,2020,Other,5
352,NHS Borders,Scottish Borders,2021,Land transport accidents,6
353,NHS Borders,Scottish Borders,2021,Poisoning,14
354,NHS Borders,Scottish Borders,2021,Falls,35
355,NHS Borders,Scottish Borders,2021,"Struck by,against",0
356,NHS Borders,Scottish Borders,2021,Crushing,0
357,NHS Borders,Scottish Borders,2021,Scalds,0
358,NHS Borders,Scottish Borders,2021,Accidental exposure,2
359,NHS Borders,Scottish Borders,2021,Other,6
361,NHS Dumfries and Galloway,Dumfries and Galloway,2012,Land transport accidents,10
362,NHS Dumfries and Galloway,Dumfries and Galloway,2012,Poisoning,3
363,NHS Dumfries and Galloway,Dumfries and Galloway,2012,Falls,33
364,NHS Dumfries and Galloway,Dumfries and Galloway,2012,"Struck by,against",0
365,NHS Dumfries and Galloway,Dumfries and Galloway,2012,Crushing,0
366,NHS Dumfries and Galloway,Dumfries and Galloway,2012,Scalds,0
367,NHS Dumfries and Galloway,Dumfries and Galloway,2012,Accidental exposure,1
368,NHS Dumfries and Galloway,Dumfries and Galloway,2012,Other,0
370,NHS Dumfries and Galloway,Dumfries and Galloway,2013,Land transport accidents,10
371,NHS Dumfries and Galloway,Dumfries and Galloway,2013,Poisoning,12
372,NHS Dumfries and Galloway,Dumfries and Galloway,2013,Falls,29
373,NHS Dumfries and Galloway,Dumfries and Galloway,2013,"Struck by,against",0
374,NHS Dumfries and Galloway,Dumfries and Galloway,2013,Crushing,0
375,NHS Dumfries and Galloway,Dumfries and Galloway,2013,Scalds,0
376,NHS Dumfries and Galloway,Dumfries and Galloway,2013,Accidental exposure,0
377,NHS Dumfries and Galloway,Dumfries and Galloway,2013,Other,1
379,NHS Dumfries and Galloway,Dumfries and Galloway,2014,Land transport accidents,8
380,NHS Dumfries and Galloway,Dumfries and Galloway,2014,Poisoning,13
381,NHS Dumfries and Galloway,Dumfries and Galloway,2014,Falls,23
382,NHS Dumfries and Galloway,Dumfries and Galloway,2014,"Struck by,against",0
383,NHS Dumfries and Galloway,Dumfries and Galloway,2014,Crushing,0
384,NHS Dumfries and Galloway,Dumfries and Galloway,2014,Scalds,0
385,NHS Dumfries and Galloway,Dumfries and Galloway,2014,Accidental exposure,1
386,NHS Dumfries and Galloway,Dumfries and Galloway,2014,Other,4
388,NHS Dumfries and Galloway,Dumfries and Galloway,2015,Land transport accidents,11
389,NHS Dumfries and Galloway,Dumfries and Galloway,2015,Poisoning,11
390,NHS Dumfries and Galloway,Dumfries and Galloway,2015,Falls,31
391,NHS Dumfries and Galloway,Dumfries and Galloway,2015,"Struck by,against",0
392,NHS Dumfries and Galloway,Dumfries and Galloway,2015,Crushing,0
393,NHS Dumfries and Galloway,Dumfries and Galloway,2015,Scalds,0
394,NHS Dumfries and Galloway,Dumfries and Galloway,2015,Accidental exposure,4
395,NHS Dumfries and Galloway,Dumfries and Galloway,2015,Other,6
397,NHS Dumfries and Galloway,Dumfries and Galloway,2016,Land transport accidents,8
398,NHS Dumfries and Galloway,Dumfries and Galloway,2016,Poisoning,16
399,NHS Dumfries and Galloway,Dumfries and Galloway,2016,Falls,29
400,NHS Dumfries and Galloway,Dumfries and Galloway,2016,"Struck by,against",0
401,NHS Dumfries and Galloway,Dumfries and Galloway,2016,Crushing,0
402,NHS Dumfries and Galloway,Dumfries and Galloway,2016,Scalds,0
403,NHS Dumfries and Galloway,Dumfries and Galloway,2016,Accidental exposure,1
404,NHS Dumfries and Galloway,Dumfries and Galloway,2016,Other,6
406,NHS Dumfries and Galloway,Dumfries and Galloway,2017,Land transport accidents,11
407,NHS Dumfries and Galloway,Dumfries and Galloway,2017,Poisoning,24
408,NHS Dumfries and Galloway,Dumfries and Galloway,2017,Falls,37
409,NHS Dumfries and Galloway,Dumfries and Galloway,2017,"Struck by,against",1
410,NHS Dumfries and Galloway,Dumfries and Galloway,2017,Crushing,0
411,NHS Dumfries and Galloway,Dumfries and Galloway,2017,Scalds,0
412,NHS Dumfries and Galloway,Dumfries and Galloway,2017,Accidental exposure,3
413,NHS Dumfries and Galloway,Dumfries and Galloway,2017,Other,4
415,NHS Dumfries and Galloway,Dumfries and Galloway,2018,Land transport accidents,11
416,NHS Dumfries and Galloway,Dumfries and Galloway,2018,Poisoning,26
417,NHS Dumfries and Galloway,Dumfries and Galloway,2018,Falls,34
418,NHS Dumfries and Galloway,Dumfries and Galloway,2018,"Struck by,against",0
419,NHS Dumfries and Galloway,Dumfries and Galloway,2018,Crushing,0
420,NHS Dumfries and Galloway,Dumfries and Galloway,2018,Scalds,0
421,NHS Dumfries and Galloway,Dumfries and Galloway,2018,Accidental exposure,4
422,NHS Dumfries and Galloway,Dumfries and Galloway,2018,Other,4
424,NHS Dumfries and Galloway,Dumfries and Galloway,2019,Land transport accidents,8
425,NHS Dumfries and Galloway,Dumfries and Galloway,2019,Poisoning,31
426,NHS Dumfries and Galloway,Dumfries and Galloway,2019,Falls,23
427,NHS Dumfries and Galloway,Dumfries and Galloway,2019,"Struck by,against",0
428,NHS Dumfries and Galloway,Dumfries and Galloway,2019,Crushing,0
429,NHS Dumfries and Galloway,Dumfries and Galloway,2019,Scalds,0
430,NHS Dumfries and Galloway,Dumfries and Galloway,2019,Accidental exposure,2
431,NHS Dumfries and Galloway,Dumfries and Galloway,2019,Other,4
433,NHS Dumfries and Galloway,Dumfries and Galloway,2020,Land transport accidents,2
434,NHS Dumfries and Galloway,Dumfries and Galloway,2020,Poisoning,26
435,NHS Dumfries and Galloway,Dumfries and Galloway,2020,Falls,36
436,NHS Dumfries and Galloway,Dumfries and Galloway,2020,"Struck by,against",0
437,NHS Dumfries and Galloway,Dumfries and Galloway,2020,Crushing,0
438,NHS Dumfries and Galloway,Dumfries and Galloway,2020,Scalds,0
439,NHS Dumfries and Galloway,Dumfries and Galloway,2020,Accidental exposure,7
440,NHS Dumfries and Galloway,Dumfries and Galloway,2020,Other,6
442,NHS Dumfries and Galloway,Dumfries and Galloway,2021,Land transport accidents,10
443,NHS Dumfries and Galloway,Dumfries and Galloway,2021,Poisoning,39
444,NHS Dumfries and Galloway,Dumfries and Galloway,2021,Falls,29
445,NHS Dumfries and Galloway,Dumfries and Galloway,2021,"Struck by,against",0
446,NHS Dumfries and Galloway,Dumfries and Galloway,2021,Crushing,0
447,NHS Dumfries and Galloway,Dumfries and Galloway,2021,Scalds,0
448,NHS Dumfries and Galloway,Dumfries and Galloway,2021,Accidental exposure,4
449,NHS Dumfries and Galloway,Dumfries and Galloway,2021,Other,4
451,NHS Forth Valley,Clackmannanshire,2012,Land transport accidents,0
452,NHS Forth Valley,Clackmannanshire,2012,Poisoning,2
453,NHS Forth Valley,Clackmannanshire,2012,Falls,7
454,NHS Forth Valley,Clackmannanshire,2012,"Struck by,against",0
455,NHS Forth Valley,Clackmannanshire,2012,Crushing,0
456,NHS Forth Valley,Clackmannanshire,2012,Scalds,0
457,NHS Forth Valley,Clackmannanshire,2012,Accidental exposure,1
458,NHS Forth Valley,Clackmannanshire,2012,Other,1
460,NHS Forth Valley,Clackmannanshire,2013,Land transport accidents,1
